0.0.0.0.0.0.0.0.2.2;0.0.0.0.0.0.0.0.2.2.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.2;0.0.0.0.0.0.0.0.2.2.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.2;0.0.0.0.0.0.0.0.2.2.2;-100 / 100;1
0.0.0.0.0.0.0.0.2.3;0.0.0.0.0.0.0.0.2.3.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.3;0.0.0.0.0.0.0.0.2.3.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.3;0.0.0.0.0.0.0.0.2.3.2;-100 / 100;1
0.0.0.0.0.0.0.0.2.4;0.0.0.0.0.0.0.0.2.4.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.4;0.0.0.0.0.0.0.0.2.4.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.4;0.0.0.0.0.0.0.0.2.4.2;-100 / 100;1
0.0.0.0.0.0.0.0.2.5;0.0.0.0.0.0.0.0.2.5.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.5;0.0.0.0.0.0.0.0.2.5.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.6;0.0.0.0.0.0.0.0.2.6.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.6;0.0.0.0.0.0.0.0.2.6.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.7;0.0.0.0.0.0.0.0.2.7.0;-100 / 100;1
0.0.0.0.0.0.0.0.2.7;0.0.0.0.0.0.0.0.2.7.1;-100 / 100;1
0.0.0.0.0.0.0.0.2.8;0.0.0.0.0.0.0.0.2.8.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.9;0.0.0.0.0.0.0.0.2.9.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.10;0.0.0.0.0.0.0.0.2.10.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.11;0.0.0.0.0.0.0.0.2.11.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.12;0.0.0.0.0.0.0.0.2.12.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.13;0.0.0.0.0.0.0.0.2.13.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.14;0.0.0.0.0.0.0.0.2.14.0;-200 / 200;1
0.0.0.0.0.0.0.0.2.15;0.0.0.0.0.0.0.0.2.15.0;-200 / 200;1
0.0.0.0.0.0.0.0.3.0;0.0.0.0.0.0.0.0.3.0.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.0;0.0.0.0.0.0.0.0.3.0.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.0;0.0.0.0.0.0.0.0.3.0.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.0;0.0.0.0.0.0.0.0.3.0.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.1;0.0.0.0.0.0.0.0.3.1.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.1;0.0.0.0.0.0.0.0.3.1.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.1;0.0.0.0.0.0.0.0.3.1.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.1;0.0.0.0.0.0.0.0.3.1.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.2;0.0.0.0.0.0.0.0.3.2.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.2;0.0.0.0.0.0.0.0.3.2.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.2;0.0.0.0.0.0.0.0.3.2.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.2;0.0.0.0.0.0.0.0.3.2.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.3;0.0.0.0.0.0.0.0.3.3.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.3;0.0.0.0.0.0.0.0.3.3.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.3;0.0.0.0.0.0.0.0.3.3.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.3;0.0.0.0.0.0.0.0.3.3.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.4;0.0.0.0.0.0.0.0.3.4.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.4;0.0.0.0.0.0.0.0.3.4.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.4;0.0.0.0.0.0.0.0.3.4.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.4;0.0.0.0.0.0.0.0.3.4.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.5;0.0.0.0.0.0.0.0.3.5.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.5;0.0.0.0.0.0.0.0.3.5.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.5;0.0.0.0.0.0.0.0.3.5.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.5;0.0.0.0.0.0.0.0.3.5.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.6;0.0.0.0.0.0.0.0.3.6.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.6;0.0.0.0.0.0.0.0.3.6.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.6;0.0.0.0.0.0.0.0.3.6.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.6;0.0.0.0.0.0.0.0.3.6.3;-100 / 100;1
0.0.0.0.0.0.0.0.3.7;0.0.0.0.0.0.0.0.3.7.0;-100 / 100;1
0.0.0.0.0.0.0.0.3.7;0.0.0.0.0.0.0.0.3.7.1;-100 / 100;1
0.0.0.0.0.0.0.0.3.7;0.0.0.0.0.0.0.0.3.7.2;-100 / 100;1
0.0.0.0.0.0.0.0.3.8;0.0.0.0.0.0.0.0.3.8.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.9;0.0.0.0.0.0.0.0.3.9.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.10;0.0.0.0.0.0.0.0.3.10.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.11;0.0.0.0.0.0.0.0.3.11.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.12;0.0.0.0.0.0.0.0.3.12.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.13;0.0.0.0.0.0.0.0.3.13.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.14;0.0.0.0.0.0.0.0.3.14.0;-300 / 300;1
0.0.0.0.0.0.0.0.3.15;0.0.0.0.0.0.0.0.3.15.0;-300 / 300;1
0.0.0.0.0.0.0.0.4.0;0.0.0.0.0.0.0.0.4.0.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.0;0.0.0.0.0.0.0.0.4.0.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.0;0.0.0.0.0.0.0.0.4.0.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.0;0.0.0.0.0.0.0.0.4.0.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.1;0.0.0.0.0.0.0.0.4.1.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.1;0.0.0.0.0.0.0.0.4.1.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.1;0.0.0.0.0.0.0.0.4.1.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.1;0.0.0.0.0.0.0.0.4.1.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.2;0.0.0.0.0.0.0.0.4.2.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.2;0.0.0.0.0.0.0.0.4.2.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.2;0.0.0.0.0.0.0.0.4.2.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.2;0.0.0.0.0.0.0.0.4.2.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.3;0.0.0.0.0.0.0.0.4.3.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.3;0.0.0.0.0.0.0.0.4.3.1;-100 / 100;1
0.0.0.0.0.0.0.0.4.3;0.0.0.0.0.0.0.0.4.3.2;-100 / 100;1
0.0.0.0.0.0.0.0.4.3;0.0.0.0.0.0.0.0.4.3.3;-100 / 100;1
0.0.0.0.0.0.0.0.4.4;0.0.0.0.0.0.0.0.4.4.0;-100 / 100;1
0.0.0.0.0.0.0.0.4.4;0.0.0.0.0.0.0.0.4.4.1;-100 / 100;1
