0.0.2.1;0.0.2.1.9;89 / 100;0
0.0.3.0;0.0.3.0.0;86 / 100;0
0.0.3.0;0.0.3.0.1;92 / 100;0
0.0.3.0;0.0.3.0.2;87 / 100;0
0.0.3.0;0.0.3.0.3;86 / 100;0
0.0.3.1;0.0.3.1.0;62 / 100;0
0.0.3.1;0.0.3.1.1;71 / 100;0
0.0.3.1;0.0.3.1.2;76 / 100;0
0.0.3.1;0.0.3.1.3;58 / 100;0
0.0.3.1;0.0.3.1.4;66 / 100;0
0.0.3.1;0.0.3.1.5;73 / 100;0
0.0.4.0;0.0.4.0.0;-345 / 400;1
0.0.4.1;0.0.4.1.0;-482 / 800;1
0.0.5.0;0.0.5.0.0;87 / 100;0
0.0.5.0;0.0.5.0.1;88 / 100;0
0.0.5.0;0.0.5.0.2;87 / 100;0
0.0.5.0;0.0.5.0.3;82 / 100;0
0.0.5.0;0.0.5.0.4;77 / 100;0
0.0.5.0;0.0.5.0.5;90 / 100;0
0.0.5.0;0.0.5.0.6;92 / 100;0
0.0.5.0;0.0.5.0.7;85 / 100;0
0.0.5.1;0.0.5.1.0;56 / 100;0
0.0.5.1;0.0.5.1.1;78 / 100;0
0.0.5.1;0.0.5.1.2;55 / 100;0
0.0.5.1;0.0.5.1.3;59 / 100;0
0.0.5.1;0.0.5.1.4;49 / 100;0
0.0.5.1;0.0.5.1.5;71 / 100;0
0.0.5.1;0.0.5.1.6;70 / 100;0
0.0.5.1;0.0.5.1.7;74 / 100;0
0.0.5.1;0.0.5.1.8;64 / 100;0
0.0.5.1;0.0.5.1.9;75 / 100;0
0.0.5.1;0.0.5.1.10;70 / 100;0
0.0.5.1;0.0.5.1.11;71 / 100;0
0.0.5.1;0.0.5.1.12;84 / 100;0
0.0.5.1;0.0.5.1.13;65 / 100;0
0.0.5.1;0.0.5.1.14;55 / 100;0
0.0.6.0;0.0.6.0.0;-584 / 700;1
0.0.6.1;0.0.6.1.0;-925 / 1500;1
0.0.7.0;0.0.7.0.0;78 / 100;0
0.0.7.0;0.0.7.0.1;81 / 100;0
0.0.7.0;0.0.7.0.2;75 / 100;0
0.0.7.0;0.0.7.0.3;71 / 100;0
0.0.7.0;0.0.7.0.4;82 / 100;0
0.0.7.1;0.0.7.1.0;54 / 100;0
0.0.7.1;0.0.7.1.1;60 / 100;0
0.0.7.1;0.0.7.1.2;62 / 100;0
0.0.7.1;0.0.7.1.3;54 / 100;0
0.0.7.1;0.0.7.1.4;55 / 100;0
0.0.7.1;0.0.7.1.5;60 / 100;0
0.0.7.1;0.0.7.1.6;62 / 100;0
0.0.7.1;0.0.7.1.7;74 / 100;0
0.0.8.0;0.0.8.0.0;-469 / 600;1
0.0.8.1;0.0.8.1.0;-763 / 1400;1
0.0.9.0;0.0.9.0.0;88 / 100;0
0.0.9.0;0.0.9.0.1;86 / 100;0
0.0.9.0;0.0.9.0.2;91 / 100;0
0.0.9.0;0.0.9.0.3;87 / 100;0
0.0.9.0;0.0.9.0.4;88 / 100;0
0.0.9.0;0.0.9.0.5;92 / 100;0
0.0.9.0;0.0.9.0.6;89 / 100;0
0.0.9.0;0.0.9.0.7;91 / 100;0
0.0.9.1;0.0.9.1.0;76 / 100;0
0.0.9.1;0.0.9.1.1;79 / 100;0
0.0.9.1;0.0.9.1.2;72 / 100;0
0.0.9.1;0.0.9.1.3;71 / 100;0
0.0.9.1;0.0.9.1.4;72 / 100;0
0.0.9.1;0.0.9.1.5;72 / 100;0
0.0.9.1;0.0.9.1.6;71 / 100;0
0.0.9.1;0.0.9.1.7;81 / 100;0
0.0.9.1;0.0.9.1.8;79 / 100;0
0.0.9.1;0.0.9.1.9;76 / 100;0
0.0.9.1;0.0.9.1.10;81 / 100;0
0.0.9.1;0.0.9.1.11;84 / 100;0
0.0.9.1;0.0.9.1.12;84 / 100;0
0.0.10.0;0.0.10.0.0;76 / 100;0
0.0.10.0;0.0.10.0.1;89 / 100;0
0.0.10.0;0.0.10.0.2;80 / 100;0
0.0.10.0;0.0.10.0.3;77 / 100;0
0.0.10.1;0.0.10.1.0;50 / 100;0
0.0.10.1;0.0.10.1.1;70 / 100;0
0.0.10.1;0.0.10.1.2;52 / 100;0
0.0.10.1;0.0.10.1.3;42 / 100;0
0.0.10.1;0.0.10.1.4;54 / 100;0
0.0.10.1;0.0.10.1.5;53 / 100;0
0.0.10.1;0.0.10.1.6;67 / 100;0
0.0.11.0;0.0.11.0.0;83 / 100;0
