0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.1;1100 / 1100;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.2;700 / 700;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.3;700 / 700;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.4;900 / 900;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.5;1000 / 1000;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.6;1400 / 1400;0
0.2.1.3.0.0.0.1.1;0.2.1.3.0.0.0.1.1.7;500 / 500;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.0;1200 / 1200;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.1;400 / 400;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.2;1200 / 1200;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.3;700 / 700;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.4;700 / 700;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.5;800 / 800;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.6;900 / 900;0
0.2.1.3.0.0.0.1.2;0.2.1.3.0.0.0.1.2.7;900 / 900;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.0;400 / 400;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.1;1100 / 1100;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.2;300 / 300;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.3;1300 / 1300;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.4;900 / 900;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.5;700 / 700;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.6;1000 / 1000;0
0.2.1.3.0.0.0.1.3;0.2.1.3.0.0.0.1.3.7;1100 / 1100;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.0;900 / 900;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.1;900 / 900;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.2;800 / 800;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.3;1000 / 1000;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.4;800 / 800;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.5;600 / 600;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.6;700 / 700;0
0.2.1.3.0.0.0.1.4;0.2.1.3.0.0.0.1.4.7;1100 / 1100;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.0;1200 / 1200;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.1;800 / 800;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.2;800 / 800;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.3;800 / 800;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.4;1000 / 1000;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.5;600 / 600;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.6;700 / 700;0
0.2.1.3.0.0.0.2.0;0.2.1.3.0.0.0.2.0.7;800 / 800;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.0;1000 / 1000;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.1;700 / 700;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.2;1200 / 1200;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.3;700 / 700;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.4;800 / 800;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.5;900 / 900;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.6;400 / 400;0
0.2.1.3.0.0.0.2.1;0.2.1.3.0.0.0.2.1.7;1000 / 1000;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.0;500 / 500;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.1;1500 / 1500;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.2;700 / 700;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.3;900 / 900;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.4;800 / 800;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.5;1200 / 1200;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.6;500 / 500;0
0.2.1.3.0.0.0.2.2;0.2.1.3.0.0.0.2.2.7;600 / 600;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.0;1300 / 1300;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.1;800 / 800;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.2;1000 / 1000;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.3;700 / 700;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.4;800 / 800;0
0.2.1.3.0.0.0.2.3;0.2.1.3.0.0.0.2.3.5;400 / 400;0
